name,cpus,rate,repeat,status,phase,runtime_error,host_contention_flagged,host_iowait_percent,achieved,baseline_rate,warmup_rate,capture_p95_ms,admission_p95_ms,apply_p95_ms,publication_p95_ms,drain_seconds,oltp_p95_ms,baseline_oltp_p95_ms,lag_p95_ms,lag_p99_ms,average_cpu_cores,peak_memory_mib,peak_backlog_bytes,last_backlog_bytes,observer_busy_samples,within_5s_p95,offered_load_met
01-cpu16-rate50-r2,16,50,2,measured,complete,,,5.661,50.035,50.361,50.335,272.46,2156.463,1200,406,2.308,13.313,8.544,3660.022,3844.117,1.239,3474.4,13155,10175,78,True,True
02-cpu4-rate50-r1,4,50,1,measured,complete,,,5.889,50.038,50.36,50.291,275.349,2206.678,1211,452,2.707,12.197,8.556,3698.314,3863.253,0.764,1348.4,12813,8360,86,True,True
03-cpu4-rate50-r3,4,50,3,measured,complete,,,5.791,50.038,50.361,50.316,296.254,2156.651,1203,398,2.607,11.601,8.5,3677.341,3855.71,0.777,1200.1,12990,8316,90,True,True
04-cpu16-rate50-r3,16,50,3,measured,complete,,,5.674,50.038,50.345,50.36,265.741,2467.696,1594,437,3.712,12.092,8.563,4437.884,4756.844,1.207,1294.3,16450,14333,76,True,True
05-cpu16-rate50-r1,16,50,1,measured,complete,,,5.647,50.039,50.357,50.357,276.151,2311.034,1669,382,3.711,12.077,8.508,4096.791,4694.576,1.235,1301.3,16084,14287,82,True,True
06-cpu4-rate50-r2,4,50,2,measured,complete,,,5.856,50.039,50.36,50.346,275.032,2187.707,1205,425,3.41,13.796,8.564,3695.978,3906.438,0.768,1191.7,13228,11748,79,True,True
